date,open,high,low,close,volume
7/13/01,120.84,122.32,120.62,122.24,10433800
7/16/01,121.77,122.28,120.29,120.71,6915300
7/17/01,120.2,121.95,119.83,121.84,7469800
7/18/01,120.56,121.64,120.06,121.01,7709300
7/19/01,122.18,122.98,120.76,122.07,10082900
7/20/01,121.15,121.94,120.92,121.34,6705800
7/23/01,121.8,121.88,118.95,118.95,8065200
7/24/01,119,119.2,116.75,117.8,12269000
7/25/01,117.92,119.48,117.46,119.1,12088500
7/26/01,119.06,120.85,118.56,120.35,12898200
7/27/01,120.83,121.35,119.91,120.81,8478800
7/30/01,121.19,121.35,120.3,120.85,8547700
7/31/01,121,122.68,120.8,121.35,11918100
8/1/01,121.97,122.7,121.55,122.11,11940800
8/2/01,123.23,123.25,121.89,122.61,11070100
8/3/01,122.36,122.36,120.9,121.94,10816300
8/6/01,121.35,121.51,120.1,120.3,8550100
8/7/01,120.27,121.2,119.91,120.77,8865100
8/8/01,120.12,121.16,118.43,118.53,15183800
8/9/01,118.7,118.97,117.86,118.88,14118500
8/10/01,118.8,119.84,117.34,119.29,11173300
8/13/01,119.6,119.85,118.81,119.32,7431600
8/14/01,120.14,120.35,118.8,119.27,13178100
8/15/01,119.23,119.61,118.08,118.24,8520600
8/16/01,117.8,118.75,117,118.65,10734700
8/17/01,117.65,117.87,116.01,116.75,11604600
8/20/01,116.8,117.9,116.55,117.83,10417400
8/21/01,117.8,118.54,115.8,115.82,14480800
8/22/01,116.75,117.43,115.78,117.02,11752300
8/23/01,116.96,117.52,116.49,116.6,8744100
8/24/01,117.21,119.13,116.74,119.02,11687700
8/27/01,118.97,119.2,118.26,118.31,7425100
8/28/01,118.28,118.49,116.58,116.58,12046600
8/29/01,117.13,117.18,115.17,115.54,16180000
8/30/01,114.85,115.74,112.04,113.32,17692600
8/31/01,113.4,114.77,113.13,114.15,15985400
9/4/01,113.85,116.17,113.37,113.42,24473400
9/5/01,113.7,114.19,111.95,113.7,21477100
9/6/01,112.65,113.3,110.77,110.77,21653000
9/7/01,110.02,111.25,108.63,108.72,33133900
9/10/01,107.7,110.35,107.7,110.05,23408700
9/17/01,101,106.4,100,104.3,32388700
