id,Date,stock_open,stock_high,stock_low,stock_close,stock_volume,stock_dividends,stock_splits,price_change_dollar,price_change_pct,price_swing,volume_change,volume_change_pct,price_change_binary
6157,7/13/2017,229.3792845,229.8774844,229.1348748,229.7552795,39471600,0,0,0.385391235,0.168021722,0.742609588,-20138800,-33.78403768,1
6158,7/14/2017,229.7552721,231.212278,229.6518714,230.8268738,60262700,0,0,1.071594238,0.466406796,1.560406661,20791100,52.67356783,1
6159,7/17/2017,230.7422625,231.1558656,230.6106628,230.7986603,33531900,0,0,-0.028213501,-0.012222797,0.545202811,-26730800,-44.35712306,0
6160,7/18/2017,230.3568763,230.977281,229.9902761,230.9208832,42742500,0,0,0.1222229,0.052956503,0.987004919,9210600,27.4681721,1
6161,7/19/2017,231.2592633,232.1804611,231.2498541,232.1710663,51034300,0,0,1.250183105,0.541390232,0.930607012,8291800,19.3994268,1
6162,7/20/2017,232.4436686,232.5752682,231.6822693,232.2744751,47135200,0,0,0.103408813,0.044539923,0.892998936,-3899100,-7.640155738,1
6163,7/21/2017,231.6541153,232.0959174,231.4097056,232.0677185,82340800,0,0,-0.206756592,-0.08901391,0.686211847,35205600,74.69067703,0
6164,7/24/2017,231.9830782,232.1616809,231.5036824,232.0112915,46622300,0,0,-0.056427002,-0.024314886,0.657998506,-35718500,-43.37885957,0
6165,7/25/2017,232.8196669,232.9324769,232.3308763,232.5752716,54915600,0,0,0.563980103,0.243083041,0.601600651,8293300,17.7882687,1
6166,7/26/2017,232.8855091,232.9231029,232.3027124,232.5847015,47575400,0,0,0.009429932,0.004054572,0.620390455,-7340200,-13.36632942,1
6167,7/27/2017,233.0828799,233.1204736,230.9396623,232.3684692,70766600,0,0,-0.2162323,-0.09296927,2.180811316,23191200,48.74620077,0
6168,7/28/2017,231.851507,232.2369113,231.3627163,232.0959167,50088400,0,0,-0.27255249,-0.117293233,0.874195049,-20678200,-29.22028188,0
6169,7/31/2017,232.528287,232.6316878,231.7386888,231.9642944,65838700,0,0,-0.131622314,-0.05671031,0.892999019,15750300,31.44500523,0
6170,8/1/2017,232.6128924,232.6504862,231.9172858,232.4812927,55050400,0,0,0.516998291,0.222878393,0.733200385,-10788300,-16.38595537,1
6171,8/2/2017,232.6222999,232.7445047,231.5882919,232.594101,47211200,0,0,0.112808228,0.048523572,1.156212806,-7839200,-14.24004185,1
6172,8/3/2017,232.4719059,232.5001048,231.8421063,232.1429138,40856000,0,0,-0.451187134,-0.193980472,0.65799857,-6355200,-13.46121259,0
6173,8/4/2017,232.6692882,232.9230784,232.1522843,232.5658875,60191800,0,0,0.422973633,0.182203982,0.770794146,19335800,47.32670844,1
6174,8/7/2017,232.6410848,232.9982758,232.5282748,232.9982758,31995000,0,0,0.432388306,0.185920777,0.470000969,-28196800,-46.84491908,1
6175,8/8/2017,232.6598967,233.9759082,232.0207023,232.4248962,61719400,0,0,-0.573379517,-0.246087451,1.955205939,29724400,92.90326614,0
6176,8/9/2017,231.6822812,232.4718794,231.296877,232.4154816,62632600,0,0,-0.009414673,-0.00405063,1.175002435,913200,1.479599607,0
6177,8/10/2017,231.5130917,231.6541006,229.0784899,229.1348877,120479500,0,0,-3.280593872,-1.411521233,2.575610704,57846900,92.35909095,0
6178,8/11/2017,229.379275,230.1124754,229.1254705,229.4732666,74869900,0,0,0.338378906,0.147676729,0.987004895,-45609600,-37.85673081,1
6179,8/14/2017,230.8550632,231.9830626,230.8174694,231.7480621,73291900,0,0,2.274795532,0.991311784,1.165593176,-1578000,-2.107656081,1
6180,8/15/2017,232.1617118,232.1805159,231.3909175,231.7199097,55242700,0,0,-0.028152466,-0.012147875,0.789598312,-18049200,-24.6264594,0
6181,8/16/2017,232.2838678,232.716275,231.6634631,232.1240692,56715500,0,0,0.404159546,0.174417272,1.052811871,1472800,2.666053614,1
6182,8/17/2017,231.4660961,231.8044974,228.5050812,228.5050812,128490400,0,0,-3.618988037,-1.559074873,3.299416177,71774900,126.5525297,0
6183,8/18/2017,228.3264918,229.5391025,227.6684932,228.1479034,136748000,0,0,-0.357177734,-0.156310631,1.87060924,8257600,6.426627982,0
6184,8/21/2017,228.0820817,228.6084805,227.3206824,228.3264771,65469700,0,0,0.178573608,0.078270984,1.287798133,-71278300,-52.12383362,1
6185,8/22/2017,228.9562818,230.8832743,228.9374777,230.7140808,63140100,0,0,2.38760376,1.04569728,1.945796577,-2329600,-3.558287269,1
